epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9266,1.37825,4.17716,1.21309,0.00204,0.11586,0.09595,0.08073,1.03798,4.13482,1.22521,0.000224292,0.000224292,0.000224292
2,48.4062,1.36916,3.77855,1.19448,0.00296,0.11586,0.08947,0.07411,1.03273,4.01569,1.16182,0.000475867,0.000475867,0.000475867
3,68.9605,1.399,3.36097,1.1408,0.00402,0.14283,0.06845,0.05212,1.0172,3.98377,1.16315,0.000722367,0.000722367,0.000722367
4,89.4852,1.40603,2.98143,1.15216,0.01004,0.4029,0.13838,0.10343,0.99913,3.64333,1.16921,0.000746161,0.000746161,0.000746161
5,109.851,1.31951,2.5792,1.20365,0.76818,0.07665,0.24077,0.16744,1.19903,2.94335,1.24918,0.000738548,0.000738548,0.000738548
6,130.436,1.25864,2.32471,1.20043,0.8141,0.12834,0.4028,0.28765,1.17143,2.81673,1.22292,0.000730935,0.000730935,0.000730935
7,150.596,1.37888,2.31328,1.20064,0.63969,0.12967,0.37277,0.27135,1.13829,3.0028,1.2725,0.000723321,0.000723321,0.000723321
8,170.757,1.27533,2.0883,1.18364,0.61125,0.22327,0.3785,0.27555,1.08456,2.91706,1.25184,0.000715708,0.000715708,0.000715708
9,191.222,1.27753,2.05165,1.16054,0.79033,0.2394,0.46799,0.32207,1.09187,2.76347,1.30452,0.000708095,0.000708095,0.000708095
10,211.393,1.37394,2.04245,1.13083,0.82554,0.35094,0.57207,0.36341,1.15462,2.69291,1.381,0.000700482,0.000700482,0.000700482
11,231.786,1.34333,1.8599,1.16627,0.8029,0.50927,0.67523,0.41316,1.1531,2.53636,1.3542,0.000692869,0.000692869,0.000692869
12,252.109,1.30444,1.58659,1.12478,0.87039,0.56208,0.71321,0.4404,1.24038,2.22284,1.36254,0.000685256,0.000685256,0.000685256
13,275.749,1.20554,1.47145,1.04935,0.91654,0.57445,0.71613,0.4304,1.40334,1.75082,1.46166,0.000677643,0.000677643,0.000677643
14,295.924,1.24665,1.64397,1.15604,0.93261,0.49003,0.7192,0.44688,1.14335,1.70278,1.31443,0.00067003,0.00067003,0.00067003
15,316.085,1.20364,1.49842,1.12286,0.9216,0.56395,0.7886,0.48778,1.2158,1.74066,1.32992,0.000662417,0.000662417,0.000662417
16,336.216,1.25886,1.40152,1.0904,0.91231,0.78372,0.85578,0.54039,1.22802,1.48977,1.37371,0.000654804,0.000654804,0.000654804
17,356.339,1.15067,1.31548,1.10761,0.90359,0.79142,0.87827,0.54264,1.25371,1.32492,1.44327,0.00064719,0.00064719,0.00064719
18,376.444,1.16485,1.22618,1.05415,0.87597,0.84641,0.87664,0.54937,1.21594,1.36376,1.38825,0.000639577,0.000639577,0.000639577
19,398.304,1.20152,1.23856,1.1118,0.88271,0.8148,0.87496,0.54847,1.23519,1.33936,1.3954,0.000631964,0.000631964,0.000631964
20,419.622,1.27066,1.22523,1.11077,0.73133,0.85766,0.852,0.5234,1.2597,1.38121,1.41159,0.000624351,0.000624351,0.000624351
21,440.759,1.35035,1.33002,1.16753,0.73756,0.87058,0.85281,0.51684,1.318,1.60957,1.42329,0.000616738,0.000616738,0.000616738
22,462.885,1.36603,1.20143,1.16192,0.79934,0.89034,0.8735,0.53841,1.29349,1.46661,1.40197,0.000609125,0.000609125,0.000609125
23,484.368,1.18993,1.07065,1.08046,0.89567,0.89257,0.91323,0.54382,1.32916,1.33329,1.45929,0.000601512,0.000601512,0.000601512
24,504.709,1.23267,1.08931,1.08244,0.89044,0.89214,0.93281,0.54885,1.35981,1.28978,1.50041,0.000593899,0.000593899,0.000593899
25,524.8,1.16574,1.13385,1.1278,0.89795,0.91066,0.95748,0.58344,1.34062,1.27444,1.49107,0.000586286,0.000586286,0.000586286
26,545.426,1.21399,1.05747,1.07592,0.88805,0.92943,0.96603,0.59909,1.32945,1.25263,1.48732,0.000578672,0.000578672,0.000578672
27,566.329,1.20852,1.09826,1.12937,0.91386,0.92982,0.96935,0.59856,1.23041,1.21958,1.37265,0.000571059,0.000571059,0.000571059
28,586.394,1.14697,1.11146,1.12591,0.92462,0.95699,0.97401,0.59388,1.16715,1.2056,1.27279,0.000563446,0.000563446,0.000563446
29,606.438,1.14656,1.04389,1.0714,0.94391,0.9391,0.96564,0.58944,1.142,1.16756,1.22288,0.000555833,0.000555833,0.000555833
30,626.358,1.14362,0.99803,1.09288,0.94853,0.94845,0.97299,0.59019,1.15534,1.25815,1.23955,0.00054822,0.00054822,0.00054822
31,646.493,1.24627,1.04326,1.13443,0.9248,0.94896,0.96322,0.57385,1.18853,1.35361,1.27492,0.000540607,0.000540607,0.000540607
32,666.557,1.17896,0.98024,1.12799,0.87451,0.97532,0.96301,0.58616,1.21552,1.37544,1.29278,0.000532994,0.000532994,0.000532994
33,686.609,1.17022,0.98232,1.15398,0.86654,0.96427,0.96815,0.60263,1.20444,1.31395,1.29379,0.000525381,0.000525381,0.000525381
34,706.798,1.22181,0.96436,1.08637,0.89906,0.97218,0.97457,0.6213,1.16959,1.26889,1.27195,0.000517768,0.000517768,0.000517768
35,726.907,1.15906,0.97371,1.11669,0.9595,0.95013,0.98552,0.61243,1.17943,1.19829,1.29301,0.000510155,0.000510155,0.000510155
36,746.991,1.22986,0.97476,1.12412,0.90064,0.95537,0.97023,0.61152,1.20304,1.14284,1.32768,0.000502541,0.000502541,0.000502541
37,766.982,1.14912,0.96293,1.11786,0.8777,0.98566,0.98407,0.62193,1.21361,1.1215,1.32446,0.000494928,0.000494928,0.000494928
38,787.386,1.21388,0.96702,1.07034,0.94536,0.93274,0.98383,0.6237,1.23415,1.12025,1.30443,0.000487315,0.000487315,0.000487315
39,807.54,1.12331,0.91424,1.05056,0.93126,0.96765,0.98121,0.62724,1.20786,1.11488,1.24374,0.000479702,0.000479702,0.000479702
40,827.468,1.10842,0.94856,1.08954,0.92289,0.96077,0.97794,0.63469,1.10426,1.07568,1.19063,0.000472089,0.000472089,0.000472089
41,847.879,1.13003,0.8656,1.06046,0.93039,0.99677,0.98976,0.6449,1.12523,1.11892,1.1796,0.000464476,0.000464476,0.000464476
42,867.854,1.05492,0.88218,1.04978,0.92894,0.98973,0.98849,0.64259,1.17996,1.24743,1.20469,0.000456863,0.000456863,0.000456863
43,887.968,1.07963,0.85296,1.0786,0.93322,0.98683,0.98903,0.64578,1.24316,1.40799,1.2574,0.00044925,0.00044925,0.00044925
44,908.146,1.17393,0.94721,1.07604,0.9486,0.99346,0.98572,0.63848,1.27306,1.32929,1.29859,0.000441637,0.000441637,0.000441637
